This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201902 CRSP database.,,,,,,,,,,,,,,,,,,,,,,,,,
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year,,,,,,,,,,,,,,,,,,,,,,,,,
divided by ME at the end of December of the prior year. ,,,,,,,,,,,,,,,,,,,,,,,,,
Annual returns are from January to December.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The break points include utilities and include financials.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
The  portfolios  include utilities and include financials.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  Average Equal Weighted Returns -- Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,4.6348,-3.0695,-1.5672,3.1246,-1.3991,2.5408,1.8246,0.0183,-1.7225,-0.8906,1.499,2.1821,0.8305,3.4198,-1.2519,1.1227,1.5293,1.7585,0.5802,2.6443,4.7201,3.7844,1.4964,3.973,1.3568
192608,-0.639,-5.365,1.5171,2.6016,6.0112,1.5805,-1.7397,4.0197,0.4317,5.2613,-0.804,2.0931,2.3402,4.1221,8.18,0.8911,4.2345,1.4105,1.7129,5.7585,0.1725,2.8637,2.669,4.5155,6.4265
192609,-9.435,-1.2192,-5.2013,-5.0573,4.9205,-2.8524,-1.2547,1.3028,-2.8538,-2.0122,-0.7515,0.0895,-2.0555,2.5873,-3.7569,-0.239,-0.5216,-1.4217,2.1496,-0.3495,-1.3566,1.2305,0.3111,-1.0843,-2.6329
192610,-7.5499,-4.6784,-8.4925,3.9498,-3.6773,-3.6416,-1.8131,-4.7066,-7.974,-1.9664,-5.2861,-2.8174,0.2656,-2.8949,-2.0595,-2.985,-2.6229,-1.7369,-3.2823,-6.0402,-2.6875,-2.7187,-3.6791,-3.6632,-6.6019
192611,-1.069,9.2527,1.4181,-3.875,2.541,-0.9515,-3.1355,2.6992,5.7852,1.9119,1.3768,4.3562,-0.3365,5.6386,3.4857,3.0186,2.501,3.5288,6.8866,1.6978,4.3963,3.6596,3.324,2.5455,2.3429
192612,11.7982,0.6786,1.3328,0.9187,-1.1347,4.1049,4.1986,1.4262,2.9331,5.7057,-0.715,2.2289,-1.1728,2.8535,1.4762,3.8674,2.4695,1.4646,2.5136,-0.4146,2.9532,2.0643,2.3034,5.0139,3.4097
192701,2.7683,-10.1202,-6.3162,2.4523,3.3906,-0.2082,-4.4226,-0.4985,-0.6419,9.2826,-1.7201,-0.646,-0.5432,2.5924,2.6412,2.3042,1.757,-0.2189,0.0626,6.6223,-0.8391,-0.2566,0.4498,1.5087,3.7535
192702,3.0567,-0.6819,9.5148,1.5002,11.1572,1.8679,9.7291,8.0965,5.1037,5.0966,6.0108,5.6658,4.5688,6.7125,12.5593,5.4329,4.634,2.3871,6.8464,12.2643,4.4489,3.5355,3.2272,7.1331,6.0918
192703,6.3412,6.1356,-10.7721,-0.9674,-5.5227,-2.9897,-0.6991,-3.5403,-2.0953,-0.154,-0.807,-3.2161,-1.0765,-2.0142,-5.6564,-2.2469,0.0294,-0.6037,-1.5777,1.7154,0.5323,-1.6363,0.5742,-2.0226,-4.763
192704,4.8731,9.7077,0.3882,3.7165,6.9022,-3.3311,-4.7903,-1.218,0.3502,1.4572,-1.2567,0.8322,-2.2012,1.9493,1.3392,-1.1468,1.6865,-0.7344,0.8058,4.8958,1.9223,-0.5365,0.0094,-1.3048,-4.4354
192705,5.2407,5.1152,2.2959,12.7328,9.5494,5.5123,2.2143,4.0104,7.1929,10.4839,1.1935,5.2487,6.0115,6.2674,15.8122,5.5924,6.3983,3.5628,6.4976,8.7087,5.4602,5.204,5.0656,5.6183,4.4373
192706,-9.0351,1.075,-11.6912,0.3327,-2.3766,0.3445,3.0673,6.0145,1.2798,-4.418,-1.7572,-3.7129,-1.2431,-1.1711,2.6609,1.1359,-2.9764,-3.409,-2.8123,4.4611,-1.3614,-4.4515,-2.99,-3.1305,-6.6073
192707,31.4167,26.5795,5.4343,3.9035,5.5453,5.9366,6.2732,3.4666,7.2273,4.4579,1.9047,5.8073,6.0787,2.6993,7.5913,6.3774,7.4146,6.7923,7.807,0.7185,7.9824,6.8414,6.6969,6.3426,13.5988
192708,0.7328,-0.0412,0.3679,-1.7189,-0.1455,0.4747,-1.0295,-2.2738,-0.0134,4.9996,0.0778,2.1763,2.2701,-2.5813,-4.7777,3.4571,3.2475,1.0131,-2.7306,-5.4725,3.2624,1.7978,-0.1697,-0.3782,3.1213
192709,11.3261,-0.1772,1.0619,1.7191,-0.3474,2.078,7.8376,2.6999,0.8279,-1.2762,3.1044,0.301,1.5927,2.0073,7.2832,4.809,3.1067,4.994,4.5732,9.2555,5.3666,4.0243,5.6567,3.8462,6.4724
